trade_week,操作,ETF名称,ts_code,板块,上周权重(%),本周权重(%),Δ权重(pp),Gate,Regime_csi
2020-05-08,🟢 BUY,AI_ETF,515980.SH,AI数字,0.0,5.88,5.88,RISK-ON,ON
2020-05-22,🟢 BUY,有色ETF,159980.SZ,周期资源,0.0,11.31,11.31,RISK-ON,ON
2020-05-22,🟢 BUY,医药ETF,512010.SH,医疗,0.0,11.31,11.31,RISK-ON,ON
2020-05-22,🟡 REBAL,半导体ETF,512480.SH,半导体芯片,11.74,11.31,-0.43,RISK-ON,ON
2020-05-22,🔴 SELL,军工ETF,512660.SH,高端制造,11.74,0.0,-11.74,RISK-ON,ON
2020-05-22,🟡 REBAL,酒ETF,512690.SH,大消费,11.74,11.31,-0.43,RISK-ON,ON
2020-05-22,🔴 SELL,通信ETF,515880.SH,通信光模块,5.87,0.0,-5.87,RISK-ON,ON
2020-05-22,🔴 SELL,AI_ETF,515980.SH,AI数字,5.87,0.0,-5.87,RISK-ON,ON
2020-05-29,🟢 BUY,黄金ETF,159934.SZ,周期资源,0.0,5.73,5.73,RISK-ON,ON
2020-05-29,🟡 REBAL,有色ETF,159980.SZ,周期资源,11.31,5.73,-5.58,RISK-ON,ON
2020-05-29,🟡 REBAL,医药ETF,512010.SH,医疗,11.31,11.45,0.14,RISK-ON,ON
2020-05-29,🔴 SELL,半导体ETF,512480.SH,半导体芯片,11.31,0.0,-11.31,RISK-ON,ON
2020-05-29,🟡 REBAL,酒ETF,512690.SH,大消费,11.31,11.45,0.14,RISK-ON,ON
2020-05-29,🟢 BUY,新能源车ETF,515030.SH,新能源,0.0,5.73,5.73,RISK-ON,ON
2020-05-29,🟢 BUY,钢铁ETF,515210.SH,周期资源,0.0,5.73,5.73,RISK-ON,ON
2020-06-05,🔴 SELL,黄金ETF,159934.SZ,周期资源,5.73,0.0,-5.73,RISK-ON,ON
2020-06-05,🟡 REBAL,有色ETF,159980.SZ,周期资源,5.73,11.49,5.76,RISK-ON,ON
2020-06-05,🟡 REBAL,医药ETF,512010.SH,医疗,11.45,11.49,0.03,RISK-ON,ON
2020-06-05,🟡 REBAL,酒ETF,512690.SH,大消费,11.45,11.49,0.03,RISK-ON,ON
2020-06-05,🟡 REBAL,新能源车ETF,515030.SH,新能源,5.73,5.74,0.02,RISK-ON,ON
2020-06-05,🔴 SELL,钢铁ETF,515210.SH,周期资源,5.73,0.0,-5.73,RISK-ON,ON
2020-06-05,🟢 BUY,煤炭ETF,515220.SH,周期资源,0.0,5.74,5.74,RISK-ON,ON
2020-06-12,🟡 REBAL,有色ETF,159980.SZ,周期资源,11.49,12.12,0.63,RISK-ON,ON
2020-06-12,🟡 REBAL,医药ETF,512010.SH,医疗,11.49,12.12,0.63,RISK-ON,ON
2020-06-12,🟡 REBAL,酒ETF,512690.SH,大消费,11.49,12.12,0.63,RISK-ON,ON
2020-06-12,🟡 REBAL,新能源车ETF,515030.SH,新能源,5.74,6.06,0.32,RISK-ON,ON
2020-06-12,🟢 BUY,钢铁ETF,515210.SH,周期资源,0.0,6.06,6.06,RISK-ON,ON
2020-06-12,🔴 SELL,煤炭ETF,515220.SH,周期资源,5.74,0.0,-5.74,RISK-ON,ON
2020-06-19,🔴 SELL,有色ETF,159980.SZ,周期资源,12.12,0.0,-12.12,RISK-ON,OFF
2020-06-19,🟡 REBAL,医药ETF,512010.SH,医疗,12.12,12.0,-0.12,RISK-ON,OFF
2020-06-19,🟡 REBAL,酒ETF,512690.SH,大消费,12.12,12.0,-0.12,RISK-ON,OFF
2020-06-19,🟡 REBAL,新能源车ETF,515030.SH,新能源,6.06,12.0,5.94,RISK-ON,OFF
2020-06-19,🟡 REBAL,钢铁ETF,515210.SH,周期资源,6.06,6.0,-0.06,RISK-ON,OFF
2020-06-19,🟢 BUY,通信ETF,515880.SH,通信光模块,0.0,6.0,6.0,RISK-ON,OFF
2020-06-24,🟢 BUY,半导体ETF,512480.SH,半导体芯片,0.0,5.99,5.99,RISK-ON,OFF
2020-06-24,🔴 SELL,酒ETF,512690.SH,大消费,12.0,0.0,-12.0,RISK-ON,OFF
2020-06-24,🔴 SELL,钢铁ETF,515210.SH,周期资源,6.0,0.0,-6.0,RISK-ON,OFF
