trade_week,Gate,Regime_csi,scale,持仓数,总仓位(%),换手率(%),主导板块,主导板块权重(%),周收益(%),成本(bps),NAV
2021-02-26,RISK-ON,OFF,0.4788,5,47.88,18.3,周期资源,17.96,-1.5062,1.52,1.7315
2021-03-05,RISK-ON,OFF,0.4812,6,48.12,12.03,周期资源,24.06,0.1162,0.91,1.7335
2021-03-12,RISK-ON,OFF,0.485,5,48.5,6.2,周期资源,26.27,0.4905,0.6,1.7421
2021-03-19,RISK-ON,OFF,0.4838,4,48.38,6.09,周期资源,20.16,-0.4415,0.31,1.7344
2021-03-25,RISK-ON,OFF,0.5044,3,25.22,11.58,地产链,8.41,-0.003,0.3,1.7343
2021-03-26,RISK-ON,OFF,0.5015,6,50.15,29.28,周期资源,20.89,-0.5729,0.58,1.7244
2021-04-02,RISK-ON,ON,0.5035,5,50.35,35.62,医疗,18.88,1.1955,1.46,1.745
2021-04-09,RISK-ON,ON,0.4972,5,49.72,25.1,医疗,12.43,-1.208,1.78,1.7239
2021-04-16,RISK-ON,ON,0.5099,4,50.99,13.07,半导体芯片,12.75,-0.2187,1.25,1.7201
2021-04-23,RISK-ON,ON,0.5045,6,50.45,19.19,周期资源,18.92,1.5455,0.65,1.7467
2021-04-30,RISK-ON,ON,0.5179,6,51.79,32.04,周期资源,25.9,0.3611,0.96,1.753
2021-05-07,RISK-ON,ON,0.5169,7,51.69,6.51,周期资源,25.85,1.004,1.6,1.7706
2021-05-13,RISK-ON,ON,0.5188,4,25.94,12.95,医疗,6.48,0.2507,0.33,1.7751
2021-05-14,RISK-ON,ON,0.519,6,51.9,25.95,周期资源,19.46,0.4285,0.65,1.7827
2021-05-21,RISK-ON,ON,0.5137,6,51.37,38.79,高端制造,12.84,-0.9637,1.3,1.7655
2021-05-28,RISK-ON,OFF,0.4917,7,49.17,19.54,大消费,12.29,2.8825,1.94,1.8164
2021-06-04,RISK-ON,OFF,0.4932,5,49.32,12.37,半导体芯片,12.33,0.8074,0.98,1.8311
2021-06-11,RISK-ON,OFF,0.4945,6,49.45,24.71,新能源,18.54,0.5213,0.62,1.8406
2021-06-18,RISK-ON,OFF,0.5005,6,50.05,24.87,半导体芯片,12.51,0.1932,1.24,1.8442
