mom_w,lam,top_n_a,vol_target,IS_Sh,IS_ann,Val_Sh,Val_ann,OOS_Sh,OOS_ann,OOS_dd
8,1.0,5,0.18,1.5320518024534688,0.23814608321525443,1.3650460008037943,0.17871721228812065,1.6812316593828194,0.318301305523339,-0.15991101999508517
8,1.5,3,0.12,1.7011857409455058,0.20794452405431985,1.7335384110360104,0.21848325006405278,1.8288103730529652,0.2601472480658591,-0.1036915291991628
8,1.5,3,0.15,1.6798473064013928,0.24009443948420572,1.6149853542027355,0.21535877482782229,1.7897755936615634,0.2989436267557115,-0.1287347077039761
8,1.5,3,0.18,1.6363307458442131,0.2606760948944449,1.624207747522428,0.21668037829810793,1.730262197829932,0.32928690737369637,-0.15341499428127048
8,1.5,4,0.12,1.6342122674499198,0.19795286439179072,1.4533957932062833,0.17913717607743251,1.7699056513261864,0.2508925927809518,-0.11016405347849845
8,1.5,4,0.15,1.5957540356397728,0.22302449045231532,1.364399857466561,0.17601949452129162,1.7257448659835573,0.2870493521985853,-0.1365565605582515
8,1.5,4,0.18,1.538603797250519,0.23966988345760964,1.366293082518147,0.1762704368007506,1.6617229610735271,0.3147169811631496,-0.16248512023030148
8,1.5,5,0.12,1.6142213455785426,0.19258688353706077,1.459416412402686,0.18151837342605837,1.7710743955425459,0.2507259699569524,-0.1045481126317993
8,1.5,5,0.15,1.571344565908869,0.2167639322124575,1.344433811111235,0.1752854988273589,1.7271188819825425,0.2868495471900172,-0.12971860238962962
8,1.5,5,0.18,1.5128939390096015,0.23261244283641225,1.3473882009168903,0.17568189743521345,1.6632640163032018,0.3144900607484036,-0.15449470948442423
8,2.0,3,0.12,1.7288178414971103,0.21093990787027073,1.6898565015808582,0.2119343790752859,1.808916691803583,0.25612233255853845,-0.11142072497733846
8,2.0,3,0.15,1.7111261330616065,0.24442945724115916,1.5761662288541072,0.2089454440653895,1.7685240230480552,0.2937851086573471,-0.1380923530452346
8,2.0,3,0.18,1.6690270576370534,0.2648270966197961,1.585496056860963,0.21024670930121792,1.7077646514552174,0.32298661693354735,-0.1642864027839559
8,2.0,4,0.12,1.6222732678200569,0.1957349418931884,1.475738296329895,0.18352196693278122,1.772866855161291,0.24987426452647,-0.11501067473269666
8,2.0,4,0.15,1.5882890484323187,0.2220995884549688,1.3725716208407346,0.17948364418715546,1.7294175777059404,0.2857852902367446,-0.14244496536982587
8,2.0,4,0.18,1.5339812371790345,0.23858652870302333,1.3765980262221178,0.18002798463406067,1.6659353674625825,0.3132230800022049,-0.16935074427796803
8,2.0,5,0.12,1.6741040603592294,0.20036929429921257,1.4465346512443096,0.18019131470573702,1.7943746066215462,0.25264687950095377,-0.10218265391150871
8,2.0,5,0.15,1.6292033381975037,0.22446320725010738,1.3276466001839655,0.17353011475613855,1.7529845224991956,0.289361998749869,-0.1268128580342568
8,2.0,5,0.18,1.5773123043813988,0.24211150786491142,1.3312225872200558,0.17401209156273878,1.6912848874451802,0.3176215136372289,-0.15106915641537544
